id,url,status_code,latency,extract_method,page_type,content_length
162,https://www.claas.com/,200,1.43,trafilatura,html,358
163,"https://www.fbrealestateco.com/blog/category/Vacation%20Home?category=Seller,Vacation%20Home,Vacation%20Home,Vacation%20Home,Vacation%20Home&page=4&offset=1740978109292",200,12.77,Selenium,article,639
164,https://www.wto.org/english/thewto_e/whatis_e/10thi_e/10thi06_e.htm,200,1.13,trafilatura,html,5356
165,https://docs.credal.ai/api-reference/search/search-document-collection,200,1.83,trafilatura,html,483
166,http://saprea.org/stories/alone-scared,200,18.09,Selenium,html,1574
167,https://www.sttark.com/blog/what-is-die-cutting-in-custom-packaging,200,1.49,trafilatura,article,6017
168,https://www.simplain.com/blog,200,1.98,trafilatura,html,1391
169,https://www.schmachtl.at/de/geschaeftsbereiche/energietechnik/transformatoren/,200,4.68,trafilatura,html,8129
170,https://fractal.ai/category/forrester-recognition/,200,15.91,Selenium,html,2013
171,https://www.ndtv.com/world-news,200,12.14,Selenium,html,6150
172,https://facebook.com/schlussgang/photos/das-schlussgang-team-gratuliert-dem-nordostschweizer-schwingerk%C3%B6nig-arnold-forre/2255824521157442/,200,6.39,trafilatura,html,50000
173,https://www.192.com/places/n/n1-6/n1-6eb/,200,11.91,Selenium,html,4649
174,https://align.company,502,13.244010210037231,Selenium,error,0
175,https://www.findchips.com/detail/sit3372ac-4b2-25nu30.720000y/SiTime-Corporation,200,12.0,Selenium,html,3983
176,https://insights.miro.com,200,1.75,trafilatura,html,10136
177,https://cascadehomecenter.com/p/klein-black-oxide-finish-wire-stripper-092644740077,406,12.018084526062012,Selenium,error,0
178,https://www.ottawaprint.com/ottawa-printing-blog.html,200,1.35,trafilatura,html,13480
179,https://www.lawyers.org.cn/info/3eaad45b637a4f938db03447a1b9fd10,200,3.21,trafilatura,html,9497
180,https://strawberryproject.hu,502,14.104673385620117,Selenium,error,0
181,http://money.usnews.com/funds/mutual-funds/target-date-2000-2010/tiaa-cref-lifecycle-2010-fund/tclex,200,49.31,Selenium,html,1619
